Restaurant,star_rating,no_reviews,cuisine,url
el iberico,4.5,446,"Mediterranean, European",https://www.tripadvisor.com.my/Restaurant_Review-g298570-d13076821-Reviews-El_iberico-Kuala_Lumpur_Wilayah_Persekutuan.html
Skillet KL,4.5,"1,084","European, Asian",https://www.tripadvisor.com.my/Restaurant_Review-g298570-d3522178-Reviews-Skillet_KL-Kuala_Lumpur_Wilayah_Persekutuan.html
Mai Bar,4.5,279,"Bars & Pubs, Bar",https://www.tripadvisor.com.my/Restaurant_Review-g298570-d8456630-Reviews-Mai_Bar-Kuala_Lumpur_Wilayah_Persekutuan.html
Cielo Sky Dining & Lounge,5.0,984,"Bar, Seafood",https://www.tripadvisor.com.my/Restaurant_Review-g298570-d13550462-Reviews-Cielo_Sky_Dining_Lounge-Kuala_Lumpur_Wilayah_Persekutuan.html
Nadodi KL,4.5,233,"Indian, Asian",https://www.tripadvisor.com.my/Restaurant_Review-g298570-d12247992-Reviews-Nadodi_KL-Kuala_Lumpur_Wilayah_Persekutuan.html
Dining In The Dark KL,4.5,"2,034","International, Healthy",https://www.tripadvisor.com.my/Restaurant_Review-g298570-d3677326-Reviews-Dining_In_The_Dark_KL-Kuala_Lumpur_Wilayah_Persekutuan.html
Healy Mac's,4.5,610,"Bars & Pubs, Irish",https://www.tripadvisor.com.my/Restaurant_Review-g298570-d12254502-Reviews-Healy_Mac_s-Kuala_Lumpur_Wilayah_Persekutuan.html
Mandarin Grill,4.5,556,"Italian, Steakhouse",https://www.tripadvisor.com.my/Restaurant_Review-g298570-d2092437-Reviews-Mandarin_Grill-Kuala_Lumpur_Wilayah_Persekutuan.html
Makan Kitchen,4.5,664,"Healthy, Malaysian",https://www.tripadvisor.com.my/Restaurant_Review-g298570-d3732108-Reviews-Makan_Kitchen-Kuala_Lumpur_Wilayah_Persekutuan.html
Horizon Grill,4.5,268,"Steakhouse, International",https://www.tripadvisor.com.my/Restaurant_Review-g298570-d14791132-Reviews-Horizon_Grill-Kuala_Lumpur_Wilayah_Persekutuan.html
